id,created,updated,title,content,tags,product,topic,locale,answers,creator
1474979,2024-11-18 16:04:13 -0800,2024-11-18 16:04:13 -0800,Thunderbird abbrviating new groups,"<p>Thunderbird by default abreviates new groups, which makes our review news groups unintelligible. This has been dealt with before, but solutions are not working for me on the newest Thunderbird. Alternative solution&nbsp;: </p><p><a href=""https://support.mozilla.org/en-US/kb/config-editor"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/config-editor</a> </p><p>I can change the setting mail.server.default.abbreviate, but it does not change the display without a reset. After a reset the setting is back to true.  </p><p>The link mentions saving the setting with a tick box, but I cannot see a tick box. </p><p>Please advise. Thanks, Steve. </p>",thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",steve.barton
1474982,2024-11-18 16:13:36 -0800,2024-11-18 16:13:36 -0800,Thunderbird,"<p>Thunderbird would not open so I called a technician who set it back up.   I have the icon on my desk to, but it will not open and I have to go back to Tunderbird Set up # 128 and reinstall it.  What shall I do. Thank you, Treva </p>",thunderbird;performance-and-connectivity;,thunderbird,performance-and-connectivity,en-US,"",queenorsa3
1474983,2024-11-18 16:14:17 -0800,2024-11-18 16:14:17 -0800,I want to customize the default display.,"<p>I always find it useful. I have one problem. I usually only display [Attachments][Subject][Recipient][Date], but the default displays [Thread][Star], etc., and I have to edit them each time. Is it possible to create a [User default] by changing the settings? Thank you. </p>",thunderbird;settings;,thunderbird,settings,en-US,"",sawadaj.osam
1474989,2024-11-18 17:28:12 -0800,2024-11-18 19:56:23 -0800,where to setup auto-reply,"<p>I've recently installed Thunderbird 128. I want to setup auto-reply but I have not found where to enable it despite looking through Settings and Account Settings. </p><p>I have composed an auto-reply and saved it as a Template - however, I cannot find where it is saved. </p><p>Also, the Actions in Manage Message Filters does not list ""Reply with Template"". </p><p>Any idea how to resolve this, please? </p>",thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,1688822;,acgjsy
1474992,2024-11-18 18:15:20 -0800,2024-11-18 18:15:20 -0800,no email,<p>My Thunderbird emails suddenly stopped coming through today or this afternoon. 11/18/2024 </p>,thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",a.nancyz1942
1474993,2024-11-18 18:51:37 -0800,2024-11-18 18:51:37 -0800,Justify alignment for sending emails with line wrapping,"<p>I'm trying to configure justified alignment for my sent emails that have line wrapping.  </p><p>My sent emails are already line-wrapped to 72 characters, but the line-wrapped content doesn't have justified alignment. I tried setting Format &gt; Align &gt; Justify and Alignment (icon) &gt; Justify in email compose window, but it only justifies content in the editor, not receiver's end. </p><p>Is there any setting that achieves my desired effect? </p>",thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",nagidrop
1474994,2024-11-18 18:53:58 -0800,2024-11-18 18:53:58 -0800,"TB 228.4 will not replicate format from Word in one user account, but does in other user acct.","<p>I upgraded from 115 to 228.4, but now 228.4 will not replicate text formatting (style, color, bold) pasted from a Word document, as it did using 115.  Yet the same program (228.4), same computer, on the other User Account works properly.  Is there a config setting that might cure the problem, or anything else, perhaps a missing file in my ill-working Profile directory?  I am at a loss as this feature is very important to me.  (I'm also a technical novice.) </p>",thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",DCB2
1474995,2024-11-18 19:02:41 -0800,2024-11-18 19:02:41 -0800,Will not accept emails from Gmail,<p>I keep getting this screen and doesn't do anything whether I hit allow or deny (and I can't send you a screenshot!) </p>,thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",nov06tmi1973
1474996,2024-11-18 19:05:48 -0800,2024-11-18 19:08:19 -0800,OAuth,<p>I have a Samsung Tablet that I have setup for a friend.  He uses Thunderbird on his desktop computer and I have installed Thunderbird for Android onto his new Samsung Tablet 9A+.  He has his email with Telus and they have outsourced their Email to Google.  As such his new Tablet does not have OAuth2 as an option when setting up his Tablet.  Is there anyway to get around this issue and get him onto his Email using Thunderbird? Robert PS The Version is 128.4.3esr </p>,thunderbird;passwords-and-sign-in;,thunderbird,passwords-and-sign-in,en-US,"",robertdaleweir
1474999,2024-11-18 19:41:36 -0800,2024-11-18 23:56:13 -0800,Thunderbird for Android,"<p>I am using Thunderbird 128.4.3esr (64-bit). My understanding is that I can export current desktop accounts to Thunderbird for Android, including Hotmail. However, when I select Export for Mobile in settings, 2 of my 3 accounts appear, but Hotmail is missing. </p>",thunderbird;accounts;,thunderbird,accounts,en-US,1688821;,alanbo
