id,created,updated,title,content,tags,product,topic,locale,answers,creator,link
1418039,2023-07-10 17:02:32 -0700,2023-07-11 17:10:37 -0700,cannot setup gmail to work in thunderbird,"<p>hello I am not very sucessful setting up my gmail (imap) in thunderbird - I have enabled imap in my gmail account for the email I want to use - I reckon this could be the problem , when I sign into my gmail I do not get this message window pop up at all: I wonder why I am not getting the window popup available for me to allow access to gmail from thunderbird? - is that a question for thunderbird support or gmail support?  </p><p><br> </p><p>Thanks </p>",download-and-install_1;,thunderbird,download-install-and-migration,en-US,1589919;1589921;1589936;1589997;1590031;,andy_from_ireland,https://support.mozilla.org/questions/1418039
1418043,2023-07-10 18:55:28 -0700,2023-07-22 20:20:34 -0700,I migrated my thunderbird profile to a new computer and now all the dates on my emails are wrong,<p>I migrated my thunderbird profile to a new computer and now all the dates on my emails are wrong - (such as 1402-04-15- see screenshot below). How do I fix this? </p>,download-and-install_1;,thunderbird,download-install-and-migration,en-US,1590280;1590291;1590293;1590296;1590466;1591003;1591072;1592167;1592172;1592269;,laughinghorse,https://support.mozilla.org/questions/1418043
1418044,2023-07-10 18:56:02 -0700,2023-07-11 17:46:00 -0700,Thunderbird does not use the email address the mail was sent to by default when replying,"<p>When replying to an email that is sent to my alias address, Thunderbird uses my actual email address in the reply email unless I manually change it. This should be either automatically the same address the email was sent to or at least optionally selectable choice in preferences instead just always using my default email address. </p><p>Longer version: 1) I order something from Acme Inc. I give them my alias email in format of user@acmeinc.domain.etc.  2) there is an issue with the order. Acme Inc contacts me by sending email to user@acmeinc.domain.etc 3) I get the email. I reply by pressing the reply option in Thunderbird 4) Thunderbird sets my sender address as user@domain.etc instead of using the email address user@acmeinc.domain.etc the email was sent to 5) Before sending the email I will have to manually go and type in the address that I want to use so that a) my actual email address is revealed to automatic systems b) I can potentially be able to see who leaked my email address and where (marketing, spam, ..) </p><p><strong>The format of the email address is not an issue. The email address used when replying is.</strong> </p><p>Please make it so, that when pressing the reply button the same email address the message was sent to will be used by default, or atleast add this as an option for the user to select in the preferences. </p><p>The fact that email programs have junk (e)mail options does not remove the fact that junk mail still happens and the actual solution is to remove unwanted junk at the server, not the client level (we have many, many, nice devices, don't we). </p>",privacy-and-security_1;,thunderbird,privacy-and-security-settings,en-US,1589916;1589942;1589944;1590039;,skape,https://support.mozilla.org/questions/1418044
1418045,2023-07-10 20:20:16 -0700,2023-07-10 20:20:16 -0700,How do I remove a folder from the unified archives?,"<p>I have a ProtonMail account configured in Thunderbird, and I want to subscribe to all the folders it provides via IMAP. This includes an 'All Mail' and a 'Archives' folder. For reasons that should be obvious, I only want the one called 'Archives' to be included in the archives unified folder. Unfortunately Thunderbird is automatically including both of these folders in the unified archives folder. I can open the unified folder properties and unselect the 'All Mail' folder from the search options, however the folder is still shown as one of the subfolders in the unified archives folder. </p><p>How can I actually get Thunderbird to remove this subfolder from its unified archives? </p>",other;,thunderbird,other,en-US,,firefox2377,https://support.mozilla.org/questions/1418045
1418046,2023-07-10 20:24:01 -0700,2023-07-11 04:47:40 -0700,outgoing emails,"<p>Over the past three days I have not been able to send emails. I have checked the settings and the ISP details for SMTP are correct. I have read a number of the articles in Thunderbird's trouble shooting page and cannot resolve the problem. Can someone please advise me, bearing in mind I am 76 years old and not an expert in these matters. This is the first time in the 12 years with Thunderbird that I have had this problem. Ian Hooper </p>",fix-problems;,thunderbird,fix-slowness-crashing-error-messages-and-other-problems,en-US,1589917;,Ian47,https://support.mozilla.org/questions/1418046
1418049,2023-07-10 20:58:28 -0700,2023-07-11 17:48:40 -0700,How do I disable this unwanted behvavior when using quick filter?,"<p>I don't know what this message is for, nor do I care.  It bothers me because I have a habit of hitting the enter button when doing any kind of search, even though its not necessary for quick filter.  Every time this comes up and I hit the enter key it opens a new tab which is not what I want.  Please tell me there is some kind of advanced configuration tweak that will either break or disable this unwanted feature. </p>",customize;,thunderbird,customize-controls-options-and-add-ons,en-US,1590021;1590024;1590033;1590040;,gsrgtrdg4565653,https://support.mozilla.org/questions/1418049
1418055,2023-07-10 22:57:51 -0700,2023-07-11 15:36:01 -0700,thunderbird - gelen kutusu,<p>merhaba. kendi gönderdiğim ve karşıdan aldıgım 3 adet mail var fakat bunları gelen dizininde göremiyorum. gelen kutusu hep(3) şeklinde yazıyor. dolu gibi görünüyor ve o dolu olan mailleri göremiyorum. </p>,other;,thunderbird,other,tr,1590013;,kubra.ozkapu,https://support.mozilla.org/questions/1418055
1418056,2023-07-10 23:34:46 -0700,2023-07-10 23:35:43 -0700,I dont have a primary password that I can recall,<p>Hello I dont have a primary password that I can recall.  I cant access my current emails as the box comes up with enter your primary password. </p>,other;,thunderbird,other,en-US,1589888;,renatamiller,https://support.mozilla.org/questions/1418056
1418058,2023-07-10 23:47:59 -0700,2023-07-10 23:47:59 -0700,Unable to save draft in Thunderbird,"<p>Good afternoon There was a problem in Thunderbird, POP3 account - unable to save draft. Drafts are saved locally on my computer. If you write a letter for a long time, then periodically displays a sign: ""Could not save the message as a draft. Error sending the message."" Forced saving a draft is also not possible with the same message. Thunderbird software version 102.13.0 (64 bit). Despite the fact that it cannot save a draft, the program freely allows you to drag and copy messages into the Drafts folder. If you create a new POP3 account, then there is no error with drafts. Please help. What can be done? </p>",fix-problems;,thunderbird,fix-slowness-crashing-error-messages-and-other-problems,en-US,,weandi,https://support.mozilla.org/questions/1418058
1418062,2023-07-11 00:33:31 -0700,2023-07-11 10:17:18 -0700,How to stop notifications from Google ‘Important’ folder?,"<p>Thunderbird has, for a while now, been giving me multiple notifications for the same message and keeps doing so over and over.  I don’t see the point in getting a notification about a message more than once.  Obviously, TB does flag ‘newness’ as well as ‘unread’ so it would be best if notifications took ‘newness’ into account. </p><p>Even if notifications do rely on a message being ‘unread’, Google’s IMAP folder system makes sure that messages appear in more than one place, which seems to make Thunderbird give you more than one notification.  Is there any way to restricting what folders TB looks in for new messages to notify you about? </p>",other;,thunderbird,other,en-US,1589963;,seanos,https://support.mozilla.org/questions/1418062
