id,created,updated,title,content,tags,product,topic,locale,answers,creator
1499802,2025-03-16 17:56:50 -0700,2025-03-16 18:04:30 -0700,Contacts issue++,"<p>When I highlight a contact and click ""Add to to"", nothing happens. Only ""collected addresses"" will populate the address box. Works fine on my desktop, but not on my laptop. Thanks for your help!! </p>",thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,1718810;,flyfishr
1499821,2025-03-16 21:32:03 -0700,2025-03-16 21:32:03 -0700,Hi guys. I have question.,"<p>For the longest time I used Eudora until the developers dropped it. </p><p>I did play with GMAIL for a while but I'm not too fond of having oligarchs know my every thought. </p><p>I even gave Outlook a trial for a couple of years but I grew tired of the damned add-on developers gouging me. </p><p>I tried Thunderbird and liked it a great deal. So much so that I happily make a monthly payment to show appreciation. </p><p>Okay, so, I switched to Windows Pro 11 and installed Thunderbird. I don't like it at all. Few controls match what I knew and I have better things to do with my days than go digging around to try to figure out what was perfectly comprehensible six months ago. </p><p>So, my questions are - </p><p>Is there any chance that you will ever add a nice simple button that says ""Revert to Earlier Interface"" </p><p>If that doesn't have a chance in hell of ever coming into being, can you suggest a decent email program that isn't from Big Coder and that can replace Thunderbird?  </p><p>I'm not stupid or lazy - I worked in IT for 35 years - but I'm long past the point where trying to figure out what the other guy did to a favorite application was enjoyable. Stable and functional is good. New and mystifying is not. </p><p>Suggestions appreciated. </p>",thunderbird;settings;,thunderbird,settings,en-US,"",lee118
1499824,2025-03-16 22:02:59 -0700,2025-03-16 22:02:59 -0700,Cannnot open emails in specific folder,"<p>I am automatically filtering messages using the message filter feature. </p><p>I cannot open emails that have been sorted into a specific folder. The email list is displayed in the tree on the left, but when I click on the relevant email, the message pane on the right remains completely blank. Although the email has been received, I cannot read its contents at all. </p><p>Even if I double-click the email in the list to open it in a new tab, the contents are still not visible. </p><p>Emails sorted into other folders display without any issues. I tried right-clicking the affected folder → Properties → Repair Folder, but the issue remains. </p><p>Is there a way to fix this? </p>",thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",detectivekounan
1499825,2025-03-16 22:07:30 -0700,2025-03-16 22:07:30 -0700,Forget my Email Password,<p>Hi </p><p>How can I reset my email Password? </p>,thunderbird;passwords-and-sign-in;,thunderbird,passwords-and-sign-in,en-US,"",brian352
1499832,2025-03-16 23:07:19 -0700,2025-03-16 23:07:19 -0700,Changing email address from POP to Imap on Thunderbird Pc,"<p>If you change your Thunderbird setting on your PC from POP to Imap, how do you change setting on phone if you are not allowed to change them? Do you have to delete existing POP account and setup/add the new Imap version.&nbsp;? Can you also force stop the POP account and try to change settings that way? </p><p>PC = HP PHONE = Samsung Galaxy S23 </p>",thunderbird;accounts;,thunderbird,accounts,en-US,"",101350
1499842,2025-03-17 01:09:50 -0700,2025-03-17 02:18:38 -0700,Thunderbird non sia avvia più dopo l'aggiornamento windows,<p>Non riesco più ad avviare Thunderbird dopo l'aggiornamento ultimo di Windows. Se clicco per aprirlo mi da sempre di riavviare il pc ma non si riavvia. </p>,thunderbird;email-and-messaging;needsinfo;,thunderbird,email-and-messaging,it,1718860;,info12756
1499846,2025-03-17 01:18:13 -0700,2025-03-17 01:18:13 -0700,Email,<p>I can not send from this e-mail   kmakholm@privat.dk (only recieve) </p>,thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",lomak60
1499849,2025-03-17 01:36:19 -0700,2025-03-17 01:36:19 -0700,"What is the meaning of ""Total xxx/yyy"" in the bottom/Status bar ?","<p>Hello, </p><p>In some archive folder, I can see in the bottom bar, either: </p><p>""Total&nbsp;: 2360"" Which I understand as ""this folder contains 2360 emails"". </p><p>or  </p><p>""Total&nbsp;: 1790/2110"" Which I understand as ""this folder contains 2110 but only 1790 are sync'ed locally""  </p><p>This rise 2 questions: - It this understanding correct? - how can I sync the missing ones?  (ie difference between xxx and yyy when Total&nbsp;: xxx/yyy </p>",thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",Courgette
1499850,2025-03-17 01:36:23 -0700,2025-03-17 01:36:23 -0700,Unterordner verschwunden,"<p>Wir ist es heute zum zweiten Mal passiert, dass ein angelegter Unterordner unter Posteingang in Thunderbird für PC, Windows, ""verschwunden"" ist.  Beim ersten Mal habe ich das Konto im Programm gelöscht und neu eingerichtet. Das kann ja nicht die regelmäßige Lösung sein. Woran liegt es? Was kann ich tun? </p>",thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",topbaufinanzdueren
1499851,2025-03-17 01:41:13 -0700,2025-03-17 01:41:13 -0700,Bugs updating from ESR to 136 Release Channel and Owl,"<p>Good morning, As the Release channel is the new default one, I updated my ESR version to the new 136.0. And now there are some things that doesn't work&nbsp;:-(  I've my Exchange account configured with Owl addon. It's compatible, and it's enabled, but I see two bugs: </p> <ul><li> Msg filter are not applied automatically, I've to apply them manually. Very annoying! </li><li> The Exchange account Inbox messages are not displayed in the Inbox unified folder. I've to manually add it every time I restart. </li></ul> <p>Are these bugs from TB or Owl? How I should proceed? </p>",thunderbird;accounts;,thunderbird,accounts,en-US,"",Dimass
