id,created,updated,title,content,tags,product,topic,locale,answers,creator
1418113,2023-07-11 15:15:10 -0700,2023-07-11 15:15:10 -0700,How to remove the new toolbar?,"<p>Hello, </p><p>The new UI has this massive customizable toolbar at the top of the screen, it wastes a lot of space and doesn't look good compared to the old UI, you can fully customize it even leaving it blank but that does not remove it entirely and it looks off with just a blank nothing up there, where is the option to completely remove this new toolbar? </p><p>Regards, </p>",customize;,thunderbird,customize-controls-options-and-add-ons,en-US,"",chugg7
1418106,2023-07-11 13:33:48 -0700,2023-07-11 13:33:48 -0700,otobaca@gmail.com,"<p>V zahraničí nefunguje, po prejdení hraníc SVK mi prestane fungovať </p>",other;,thunderbird,other,en-US,"",riaditel3
1418103,2023-07-11 13:22:29 -0700,2023-07-11 13:22:29 -0700,Message filters not working,"<p>To whom it may concern, </p><p>Since I'm using Thunderbird I've been building a Message Filter (Tools&gt; Message Filters) to automatically delete mails by setting up rules like, i.e., delete messages containing certain words and/or symbols in its address and/or subject. This feature has been performing perfectly until a few days ago, when this rules stopped working—hence these unwanted mails reach my Inbox, also my Junk folder. Manually executing those filters neither works. I've updated Thunderbird to its latest version in Ubuntu, 102.13, although this issue persists. Could you please provide me any hint about what's happening? </p><p>Thanks for your patience and support. </p><p>Best regards, </p><p>Sebastián </p><p>PS: I've attached a screenshot of a mail that, according to ""my rules"", should have been automatically deleted. </p>",privacy-and-security_1;,thunderbird,privacy-and-security-settings,es,"",dxm83
1418102,2023-07-11 12:06:34 -0700,2023-07-11 13:52:24 -0700,3.3 MB Pasted Image becomes 22 MB Message,"<p>TB 102.13.0 (64-bit)/macOS 13.3 (22E252)/2023 MBP, 16"", M2 Max </p><p>If I take a photo on my iPhone 12 SE/iOS 16.5.1 and AirDrop it to my Mac, it's 3.3 MB: </p><p><a href=""https://www.kan.org/pictures/IMG_8281.HEIC"" rel=""nofollow"">https://www.kan.org/pictures/IMG_8281.HEIC</a> </p><p>If I attach it to a message (as an attachment) in TB, the message size is about 4 MB. </p><p>If I copy/paste it into the message body, the message size balloons to ~22 MB. You can test this just by Saving the message to your Drafts folder; you don't have to actually send it. </p><p>Resizing the pasted photo within the message body doesn't affect the message size, as it appears to change the rendering without resampling. </p><p>The result is the same whether I copy on the iPhone and paste it into TB on my Mac, or whether I AirDrop it to my Mac, open in Preview, copy from Preview, and paste into TB. </p><p>Is there a way to resample the image within TB to reduce its file size without going through another app like Preview? Sometimes it's more instructive to have inline messages, exactly where they need to be in the body of my email, rather than having them as attachments. And copy/paste directly from my iPhone would be a great productivity enhancer if not for the size bloat.  </p><p>Thanks! </p>",other;,thunderbird,other,en-US,1589992;1590003;,steven64
1418101,2023-07-11 11:57:11 -0700,2023-07-11 11:57:11 -0700,How can I deduplicate a subfolder?,"<p>The email system that my organisation uses does not have an ""All Mail"" folder, and any folder I want has to be created as a subfolder of the Inbox.  That is not Thunderbird's fault.  It just an annoying constraint of our system.  Ultimately the original emails are then moved from the Inbox and filed in their relevant folders, while the copy remalns in the All Mail folder.   </p><p>My workaround is to select and copy batches of emails in my Thunderbird Inbox to an ""All Mail"" subfolder that I have created.  However sometimes I copy the same Inbox email more than once to the subfolder.  Is there a way to deduplicate the emails in a single folder, namely my All Mail folder? </p><p>I use Thunderbird on a Windows 10 PC and on iPad and iPhone. </p>",other;,thunderbird,other,en-US,"",David_DD
1418100,2023-07-11 11:49:20 -0700,2023-07-11 11:49:20 -0700,"We are long-time, non-profit, Firefox user: 2months ago, we paid in for Thunderbird email: we can receive, but cannot send. Please fix the problem ASAP. We'd like to stay, but will have to go soon.","<p>Please fix T-bird email. We are a non-profit, long-term, Firefox user that paid &amp; signed in 2months ago, &amp; cannot send email. Please fix ASAP; problem is something to do with SMTP server. We don't want to, but we will have to go very soon.  Thanks,  Refuges for All WildLife. </p>",other;,thunderbird,other,en-US,"",rew-q
1418093,2023-07-11 09:29:56 -0700,2023-07-11 09:29:56 -0700,"After updating to Thunderbird 102.13.0, can no longer send emails but I can receive them","<p>After updating to Thunderbird 102.13.0, can no longer send emails but I can receive them </p>",other;,thunderbird,other,en-US,"",alexanders816
1418092,2023-07-11 08:47:57 -0700,2023-07-11 09:03:31 -0700,Thunderbird working well with several USA email accounts but notable problems with Yahoo.com.,"<p>Latest Thunderbird version ( Win11 Pro, Desktop PC ) will not accept proven setup info for <a href=""http://Yahoo.com"" rel=""nofollow"">Yahoo.com</a>. Confirmed Server info with Yahoo, but Thunderbird rejects.  PLZ help&nbsp;!! Thom Bailey St George, UT USA </p>",fix-problems;,thunderbird,fix-slowness-crashing-error-messages-and-other-problems,en-US,1589953;,tfbailey37
1418091,2023-07-11 08:47:39 -0700,2023-07-11 08:47:39 -0700,email,"<p>In the header above new e-mails which has address book, reply, junk etc. Many e-mails are coming up as ""not junk"" making it harder to get rid of them and mark them as junk. Is there any way to change this as its annoying and time consuming. </p>",other;,thunderbird,other,en-US,"",rmarin9535
1418088,2023-07-11 06:51:19 -0700,2023-07-11 14:49:25 -0700,Thunderbird 102.13.0,"<p>Hello, I upgraded this morning TB to the latest version 102.13.0 but my account on office 365 is not working properly. I cannot forward messages anymore and the messages that I send have no content. </p><p>I am using Exquilla for Microsoft exchange and there is something definitely wrong since the upgrade was done. </p><p>Can you support urgently? </p><p>Best regards, </p><p>Fadi </p>",fix-problems;,thunderbird,fix-slowness-crashing-error-messages-and-other-problems,en-US,1589937;1589938;1589947;1589949;1589950;1589951;1589960;1589962;1589988;1590010;,fkhoneis
