id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1429830,2023-11-03,"Thunderbird Version 115 automatically scrolls, after 30 seconds to the top of email without touching the mouse After upgrading to Thunderbird 115 I've tried rea",🪟;Windows 10;os:win10,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-11-02 17:15:17 -0700
1429832,2023-11-03,Thunderbird update prompts As a long-time Thunderbird user I currently have version 102.14.0 (64-bit) Win 10.  A few months ago I updated to a newer version tha,🪟;Win 10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-02 17:53:48 -0700
1429834,2023-11-03,Authorization Failed Authorization set to auth2 and cookies set to All. I still get denied current emails. ,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-11-02 18:21:39 -0700
1429835,2023-11-03,Log-in I can't log-in I'm using. Cookies OK and auth2. ,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-11-02 18:25:42 -0700
1429836,2023-11-03,"Cannot open email, Thunderbird does not recognize my account! I cannot open my email because Thunderbird is not recognizing my account.  I have used Thunderbird",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-02 18:38:24 -0700
1429837,2023-11-03,"E-mails in Inbox When I put e-mails that are in my Inbox into selected folders, they show back up in my Inbox later.  How do I fix this? ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-02 19:23:18 -0700
1429838,2023-11-03,"Thunderbird Thunderbird was working great until today... you ""offered"" me an upgrade to SuperNova 115 after which I am no longer receiving any incoming email. D",❓;;os:unknown,🚧;fix-problems;t:fix_problems,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-11-02 19:26:25 -0700
1429849,2023-11-03,Thunderbird cannot send or receive e-mails from iinet server Thunderbird cannot connect to my iinet account. This has been working fine up until today. iinet ca,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-03 00:54:20 -0700
1429852,2023-11-03,impossibile ricevere la posta in arrivo da qualche giorno da thunderbird riesco a mandare le mail ma non riesco a scaricarle ,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-11-03 02:04:41 -0700
1429855,2023-11-03,One filter  for several accounts Thunderbird filters Example: I want to automatically delete incoming messages from one sender in all GMX accounts (I have 4 of ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-03 02:21:36 -0700
1429857,2023-11-03,"tags in subfolders SHORT VERSION: Is it possible to make hunderbird show me, in the main window, that there is a tagged email ALSO inside a subfolder? EXPLANATI",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-11-03 02:29:05 -0700
